media_id,pull_date,caption,media_type,product_type,permalink,timestamp,like_count,comments_count,reach,likes,comments,saved,shares,total_interactions,views,avg_watch_time_sec,total_watch_time_sec,post_type,publish_date_est,publish_year,publish_month,publish_month_name,publish_weekday,publish_hour_est,publish_time_label,engagement_rate,engagement_rate_followers,rewatch_rate,profile_visits,follows
18014195174667172,2026-09-05,"Welcome to the spring semester panthers ⭐️  We’re excited to be back on campus and kicking off the semester with our spring kickoff week, come meet our team at our table!  Don’t miss our first General Body Meeting this Friday we’ll have food and swag for everyone who comes.  #weareinit #miamitechnology #fiu #init #miami #diversityintech #technology #internship #collegelife #computerscience #cybersecurity #informationtechnology #womenintech",CAROUSEL_ALBUM,FEED,https://www.instagram.com/p/DEiHjQ-vjB7/,2025-01-07T17:40:26+0000,118,5,1845.0,118.0,5.0,4.0,6.0,133,3702.0,,,IG carousel,2025-01-07,2025,1,January,Tuesday,12,12 PM,7.209,2.166,2.007,40.0,2.0
18033752147179084,2026-09-05,"Ready to launch your tech career?   Join us at the INIT Spring Kickoff Meeting this Friday. Connect with our amazing community, explore opportunities in technology, and enjoy free food and swag! 🌟  Don’t miss out—open to everyone! See you there!  #FIU #INIT #TechCommunity #SpringKickoff #TechCareers #FIUEngineering #FIUSCIS #Innovation #Networking #TechOpportunities #WeAreINIT #KnightFoundation #StudentLife #futureintech",CAROUSEL_ALBUM,FEED,https://www.instagram.com/p/DEknu1GuPp-/,2025-01-08T17:00:00+0000,144,1,2071.0,144.0,1.0,4.0,11.0,160,4038.0,,,IG carousel,2025-01-08,2025,1,January,Wednesday,12,12 PM,7.726,2.605,1.95,41.0,1.0
18052310417027359,2026-09-05,Ever been curious about creating your own video game? 🎮  Join us for our Intro to Game Development workshop this Thursday! We’ll provide you with the tools and guidance you need to start building and succeeding at game development. Don’t miss out! 👾  #FIU #INIT #Gamingworkshop #TechBasics #gamebuilding #WeAreINIT #FIUEngineering #FIUSCIS #CodingCommunity #KnightFoundation #womenintech #cybersecurity #computerscience #artificialintelligence,CAROUSEL_ALBUM,FEED,https://www.instagram.com/p/DExfu6WO8U7/,2025-01-13T17:00:00+0000,104,1,1528.0,104.0,1.0,4.0,8.0,117,3086.0,,,IG carousel,2025-01-13,2025,1,January,Monday,12,12 PM,7.657,1.905,2.02,29.0,0.0
18097623121500963,2026-09-05,Have you ever wanted to learn how to use Github?  Join us for the Intro to GitHub Workshop! This beginner-friendly session will teach you the basics of GitHub and help you kickstart your journey in version control. 🚀  Open to everyone—no prior experience needed! Let’s explore GitHub together.  *Time & Location has been updated as shown on poster*  #FIU #INIT #GitHubWorkshop #TechBasics #VersionControl #WeAreINIT #FIUEngineering #FIUSCIS #CodingCommunity #knightfoundation,CAROUSEL_ALBUM,FEED,https://www.instagram.com/p/DEyCBnDPIzR/,2025-01-13T22:00:00+0000,54,1,1033.0,54.0,1.0,0.0,3.0,58,2358.0,,,IG carousel,2025-01-13,2025,1,January,Monday,17,5 PM,5.615,0.944,2.283,22.0,0.0
18479867923001146,2026-09-05,"Curious about the different career paths and wondering which one is right for you?  Our Reach program is here to help! Join this workshop to explore your options and find the perfect path for you. Ready, set, plan your future!📙  #CareerPath #CareerGoals #CareerPlanning #ReachProgram #FIU #WeAreINIT #TechCareers #FutureReady #CareerWorkshop #PlanYourFuture #FIUStudents #Networking #ProfessionalDevelopment #FIUEngineering #knightfoundation",CAROUSEL_ALBUM,FEED,https://www.instagram.com/p/DE0Ek0lO-tl/,2025-01-14T17:00:00+0000,50,2,1138.0,50.0,2.0,2.0,4.0,58,2448.0,,,IG carousel,2025-01-14,2025,1,January,Tuesday,12,12 PM,5.097,0.944,2.151,25.0,0.0
18034541831404026,2026-09-05,Get a sneak peak into this year’s 2025 E-Board members 🤭  Comment down below who is your favorite E-Board member!  #FIU #INIT #E-Board #TechBasics #womenintech #WeAreINIT #FIUEngineering #FIUSCIS #CodingCommunity #knightfoundation #technology #computerscience,VIDEO,REELS,https://www.instagram.com/reel/DE1W73quVOn/,2025-01-15T05:00:00+0000,228,3,3201.0,228.0,3.0,1.0,16.0,248,7109.0,17.74,75542.54,IG reel,2025-01-15,2025,1,January,Wednesday,0,12 AM,7.748,4.038,2.221,,
18329405998087318,2026-09-05,"Ready to lead and build your skills? ⭐️  Join INIT Build as a Team Lead and turn ideas into reality! Lead a team, gain hands-on experience, and showcase your project to industry professionals. Plus, boost your resume and career prospects! 💻🚀  Don’t wait—start your leadership journey now!  #INITBuild #Leadership #TechProjects #FIU #WeAreINIT #HandsOnLearning #TechCommunity #Networking #FIUEngineering #knightfoundation",CAROUSEL_ALBUM,FEED,https://www.instagram.com/p/DE5OIPuN7Oq/,2025-01-16T17:00:00+0000,92,4,1664.0,92.0,4.0,7.0,11.0,114,3694.0,,,IG carousel,2025-01-16,2025,1,January,Thursday,12,12 PM,6.851,1.856,2.22,35.0,0.0
17853791541367462,2026-09-05,"Want to level up your skills and build your resume? Our Explore program is here for you!  Pick a track—AI, game dev, web dev, or hardware—and start building real projects through hands-on workshops. Gain skills, grow your resume, and have fun doing it! 🔧🎮  Don’t miss out—kickstart your tech journey today!  #ExploreProgram #TechSkills #LearnAndBuild #FIU #WeAreINIT #TechWorkshops #HandsOnLearning #AI #GameDev #WebDev #hardware",CAROUSEL_ALBUM,FEED,https://www.instagram.com/p/DE-fXKlvtcG/,2025-01-18T18:07:14+0000,104,7,1446.0,104.0,7.0,13.0,14.0,138,3216.0,,,IG carousel,2025-01-18,2025,1,January,Saturday,13,1 PM,9.544,2.247,2.224,31.0,1.0
18095964163454248,2026-09-05,"Ready to kick off the semester with some fun?   Join us for the Karaoke Kick-Off and enjoy karaoke and mocktails with friends! It’s the perfect way to connect, unwind, and start the year right. 🎶🍹  Open to everyone—don’t miss out!  #Karaoke #FIU #WeAreINIT #StudentLife #KickOffFun #KaraokeParty #CampusEvents #womenintech #computerscience #informationtechnology #cybersecurity",CAROUSEL_ALBUM,FEED,https://www.instagram.com/p/DFA5R75uq25/,2025-01-19T16:32:11+0000,80,9,1980.0,80.0,9.0,4.0,24.0,117,4071.0,,,IG carousel,2025-01-19,2025,1,January,Sunday,11,11 AM,5.909,1.905,2.056,48.0,0.0
17963044778845315,2026-09-05,Ready to build your first website?   Join us for our Intro to Web Dev Workshop and learn how to create a site step by step! No experience needed—just bring your curiosity and get ready to start coding. 🖱️✨  Open to everyone—let’s make something awesome together!  #WebDevelopment #LearnToCode #INITExplore #FIU #WeAreINIT #TechSkills #StudentLife #HandsOnLearning #CodingJourney #techcommunity,CAROUSEL_ALBUM,FEED,https://www.instagram.com/p/DFDwnluP9s5/,2025-01-20T19:14:13+0000,42,8,1200.0,42.0,8.0,3.0,6.0,59,2475.0,,,IG carousel,2025-01-20,2025,1,January,Monday,14,2 PM,4.917,0.961,2.062,14.0,2.0
